ID,Date,Type,Narrative,Bank Reference,Amount,Category
550e8400-e29b-41d4-a716-446655440000,2025-01-03,incoming,Salary deposit LV12HABA345678901234 Job,TXN1001,1500.00,Salary
550e8400-e29b-41d4-a716-446655440001,2025-01-04,outgoing,Rent payment LV45BANK0000001111222 Baltic Rentals,TXN1002,-550.00,Housing
550e8400-e29b-41d4-a716-446655440002,2025-01-05,purchase,Coffee shop LV67SWED9999998888877 Coffee Beans,TXN1003,-5.75,Groceries
550e8400-e29b-41d4-a716-446655440003,2025-01-06,incoming,Travel reimbursement LV90CITI123450678999 Sarah Smith,TXN1004,85.00,Bonuses
550e8400-e29b-41d4-a716-446655440004,2025-01-07,purchase,Online subscription LV01HABA0000012345678 Netflix,TXN1005,-12.99,Entertainment
550e8400-e29b-41d4-a716-446655440005,2025-01-08,outgoing,Phone bill LV57PARX001122334455 Bite Telecom,TXN1006,-25.00,Utilities
550e8400-e29b-41d4-a716-446655440006,2025-01-09,incoming,Freelance work LV14BANK442200110099 Martin Grey,TXN1007,300.00,Freelance Work
550e8400-e29b-41d4-a716-446655440007,2025-01-10,outgoing,Supermarket groceries LV62BANK987654321000 Rimi,TXN1008,-68.40,Groceries
550e8400-e29b-41d4-a716-446655440008,2025-01-11,purchase,Clothing store LV54HABA9988776655443 Zara,TXN1009,-120.00,Clothing
550e8400-e29b-41d4-a716-446655440009,2025-01-12,outgoing,Electric bill LV33BANK123456779001 Elektrum,TXN1010,-60.00,Utilities
550e8400-e29b-41d4-a716-446655440010,2025-01-13,incoming,Bank interest LV08CITI987654321234 Banka,TXN1011,2.35,Investments
550e8400-e29b-41d4-a716-446655440011,2025-01-14,purchase,Electronics store LV99SWED112233445566 RD Electronics,TXN1012,-89.99,Shopping
550e8400-e29b-41d4-a716-446655440012,2025-01-15,outgoing,Transfer to friend LV77HABA0000001111222 Anna Brown,TXN1013,-200.00,Miscellaneous
550e8400-e29b-41d4-a716-446655440013,2025-01-16,incoming,Gift from parent LV43BANK111333555777 David Doe,TXN1014,100.00,Gifts
550e8400-e29b-41d4-a716-446655440014,2025-01-17,purchase,Restaurant dinner LV11HABA887766554433 Lido,TXN1015,-42.50,Entertainment
550e8400-e29b-41d4-a716-446655440015,2025-01-18,incoming,Insurance claim LV21HABA345678901234 Michael Green,TXN1016,500.00,Miscellaneous Income
550e8400-e29b-41d4-a716-446655440016,2025-01-19,outgoing,ATM withdrawal LV14BANK442200110099 Citadele ATM,TXN1017,-100.00,Withdrawal
550e8400-e29b-41d4-a716-446655440017,2025-01-20,purchase,Movie tickets LV66HABA123409876543 Forum Cinemas,TXN1018,-15.00,Entertainment
550e8400-e29b-41d4-a716-446655440018,2025-01-21,incoming,Salary deposit LV27HABA009988776655 Job,TXN1019,1500.00,Salary
550e8400-e29b-41d4-a716-446655440019,2025-01-22,outgoing,Gym membership LV90SWED123456789012 MyFitness,TXN1020,-25.99,Fitness
550e8400-e29b-41d4-a716-446655440020,2025-01-23,purchase,Online gaming purchase LV31HABA001122334455 Steam,TXN1021,-19.99,Entertainment
550e8400-e29b-41d4-a716-446655440021,2025-01-24,incoming,Tax refund LV59PARX554433221100 Jane White,TXN1022,250.00,Miscellaneous Income
550e8400-e29b-41d4-a716-446655440022,2025-01-25,outgoing,Car loan payment LV85BANK666777888999 InCredit,TXN1023,-200.00,Transport
550e8400-e29b-41d4-a716-446655440023,2025-01-26,purchase,Medical appointment LV57PARX001122334455 HealthClinic,TXN1024,-35.00,Healthcare
550e8400-e29b-41d4-a716-446655440024,2025-01-27,incoming,Performance bonus LV99HABA123409876543 Job,TXN1025,300.00,Bonuses
c65fdeae-85f7-40cc-93c9-fe9e030d4f30,2025-04-19,INCOMING,idk,idk,250.4,idk
